DT,NDVI,P,ET,LST
2011-12-10,0.5764,3.5973,43.201,32.2602
2011-12-20,0.5317,2.5255,47.0183,35.5161
2011-12-31,0.4747,3.1977,55.7898,38.746
2012-01-10,0.4187,1.3176,52.1284,39.3657
2012-01-20,0.3725,1.1105,55.7165,40.7531
2012-01-31,0.3447,1.525,64.0124,41.8465
2012-02-10,0.3274,1.3705,60.8578,43.5125
2012-02-20,0.3174,1.5642,64.5995,43.6772
2012-02-28,0.3068,2.8072,58.7585,42.5925
2012-03-10,0.3008,4.1379,65.4754,42.2973
2012-03-20,0.3011,2.8837,67.1335,46.6552
2012-03-31,0.3202,4.823,73.6811,42.6414
2012-04-10,0.3704,67.0686,49.2382,37.7603
2012-04-20,0.4552,66.1904,41.2177,34.4744
2012-04-30,0.5475,65.2501,39.0666,31.1463
2012-05-10,0.6025,48.3705,40.6562,30.1224
2012-05-20,0.6202,29.6389,41.6378,30.4866
2012-05-31,0.6052,33.3598,53.0335,30.8546
2012-06-10,0.5515,5.7763,51.942,30.1551
2012-06-20,0.496,5.8329,53.2944,29.5172
2012-06-30,0.4487,7.4922,51.1319,32.1935
2012-07-10,0.4204,6.8601,49.4545,32.5874
2012-07-20,0.4075,4.1698,53.648,30.9994
2012-07-31,0.4036,9.2981,61.7186,33.9361
2012-08-10,0.4007,9.6226,55.7101,36.0758
2012-08-20,0.4031,18.3673,55.3295,36.5276
2012-08-31,0.4074,32.8497,53.7485,35.4258
2012-09-10,0.4173,29.1933,49.4962,36.5209
2012-09-20,0.4408,34.8458,48.4076,34.0132
2012-09-30,0.4822,32.8509,47.6629,34.9051
2012-10-10,0.5343,17.2093,42.3024,31.3847
2012-10-20,0.5866,12.4928,47.6044,33.2329
2012-10-31,0.6202,63.8213,44.0152,31.2574
2012-11-10,0.6304,12.3344,44.6283,30.938000000000002
2012-11-20,0.6196,19.7008,40.7632,30.4249
2012-11-30,0.5943,5.9131,47.0296,32.8598
2012-12-10,0.5534,4.5728,44.6515,33.693000000000005
2012-12-20,0.5056,4.3407,48.8914,35.8803
2012-12-31,0.461,3.5363,54.766000000000005,38.8732
2013-01-10,0.4241,9.1208,50.1278,37.6515
2013-01-20,0.3952,3.1952,54.3516,38.158
2013-01-31,0.3712,3.8485,63.5374,41.1643
2013-02-10,0.3486,2.3736,59.0689,41.3203
2013-02-20,0.3289,2.2257,64.1073,44.7248
2013-02-28,0.3185,1.3230000000000002,53.5401,45.5551
2013-03-10,0.3274,5.5655,65.7706,43.7719
2013-03-20,0.3644,40.3504,46.6094,37.2185
2013-03-31,0.4363,83.3508,41.9646,31.1156
2013-04-10,0.5311,99.7725,34.199,29.0191
2013-04-20,0.6015,54.2962,37.6302,30.4654
2013-04-30,0.6328,53.9749,32.2081,30.041999999999998
2013-05-10,0.6352,69.8414,36.8375,28.0968
2013-05-20,0.6175,15.0878,43.7666,28.2542
2013-05-31,0.5795,30.9169,48.4145,30.3388
2013-06-10,0.5264,5.9671,45.1496,29.0597
2013-06-20,0.4622,14.8061,40.1336,28.6439
2013-06-30,0.4139,4.0103,49.3461,29.9637
2013-07-10,0.3818,12.0479,48.653999999999996,31.7706
2013-07-20,0.3695,15.6349,47.2026,32.031
2013-07-31,0.3681,18.7682,50.7985,30.4
2013-08-10,0.3759,11.7471,50.3781,33.7605
2013-08-20,0.39,16.2998,52.5136,33.3707
2013-08-31,0.4116,15.1547,61.7707,34.6096
2013-09-10,0.4337,17.8793,55.8034,35.7218
2013-09-20,0.4549,16.9676,55.4789,37.1927
2013-09-30,0.484,21.9053,48.386,35.2119
2013-10-10,0.5315,59.5051,40.4481,29.9939
2013-10-20,0.5855,32.6769,40.9817,29.1687
2013-10-31,0.6245,21.1841,48.4831,30.7834
2013-11-10,0.647,28.0449,36.5981,27.5239
2013-11-20,0.6546,28.5553,36.2201,28.2968
2013-11-30,0.6346,9.1939,41.8209,31.4381
2013-12-10,0.5847,1.3384,45.3004,36.6753
