DT,NDVI,P,ET,LST
2010-04-20,0.7317,129.7925,37.2578,27.4534
2010-04-30,0.737,67.7426,37.4505,26.896
2010-05-10,0.7285,47.3309,40.2295,25.6846
2010-05-20,0.7225,71.9737,38.8912,25.0068
2010-05-31,0.7068,42.7914,44.9683,24.9719
2010-06-10,0.6788,13.5443,45.1484,25.7898
2010-06-20,0.6283,12.969000000000001,40.7974,25.0852
2010-06-30,0.5863,8.8937,43.5028,25.7139
2010-07-10,0.5518,8.6932,43.4599,26.5155
2010-07-20,0.5301,4.8107,47.5158,28.2946
2010-07-31,0.511,14.5575,44.8191,28.4675
2010-08-10,0.5022,4.8507,48.7146,27.717
2010-08-20,0.5073,13.6167,50.0699,32.9241
2010-08-31,0.5239,29.3632,46.6694,29.9787
2010-09-10,0.5416,9.6212,53.3174,33.5138
2010-09-20,0.5546,17.5668,49.7344,32.7006
2010-09-30,0.5629,25.6716,44.9319,30.1154
2010-10-10,0.5861,19.2489,46.4852,31.377
2010-10-20,0.6338,40.0495,42.2053,30.3159
2010-10-31,0.6851,28.7417,45.6978,26.4672
2010-11-10,0.7009,3.0579,52.1691,29.7872
2010-11-20,0.6854,4.8672,49.2983,30.9514
2010-11-30,0.6503,15.8654,46.18,30.3791
2010-12-10,0.5992,2.8776,52.0069,35.5654
2010-12-20,0.55,2.7205,53.9333,35.1331
2010-12-31,0.5061,3.9888,53.8949,33.8794
2011-01-10,0.4707,3.112,53.4625,37.3131
2011-01-20,0.4425,4.0687,54.5671,38.5002
2011-01-31,0.4236,3.1973,64.7367,37.8904
2011-02-10,0.4125,2.2757,63.3984,42.5763
2011-02-20,0.4056,6.3882,55.5869,38.2787
2011-02-28,0.4036,2.0065,53.3206,41.8597
2011-03-10,0.4054,6.325,66.6853,41.7365
2011-03-20,0.4066,9.6507,59.1241,39.8906
2011-03-31,0.4033,4.1921,74.1936,41.8092
2011-04-10,0.4058,11.6765,62.4551,39.5505
2011-04-20,0.4255,12.929,57.0473,37.8077
2011-04-30,0.4777,77.8799,44.3593,35.8763
2011-05-10,0.5604,85.3729,41.4435,28.8089
2011-05-20,0.6385,81.359,43.7461,26.2332
2011-05-31,0.6716,45.6834,48.0982,25.6867
2011-06-10,0.6691,16.6436,44.5038,25.8748
2011-06-20,0.6493,12.0796,42.2813,26.5532
2011-06-30,0.6243,17.8171,42.3296,26.8571
2011-07-10,0.6056,12.1207,45.0835,29.3981
2011-07-20,0.5892,10.2601,46.692,28.9734
2011-07-31,0.5697,17.6226,54.0597,30.003
2011-08-10,0.5509,8.738,47.7454,29.1738
2011-08-20,0.5372,12.6045,51.2,30.9242
2011-08-31,0.5325,14.6318,59.0159,31.0009
2011-09-10,0.5327,35.0055,45.5409,30.6291
2011-09-20,0.5416,14.3872,50.5233,31.0287
2011-09-30,0.565,16.5145,53.2259,31.3977
2011-10-10,0.604,62.5214,42.7742,30.7396
2011-10-20,0.6495,47.9977,39.202,26.9654
2011-10-31,0.6885,44.3918,47.891000000000005,29.5323
2011-11-10,0.7152,128.9552,33.1001,26.0451
2011-11-20,0.7316,16.2603,42.9253,25.8668
2011-11-30,0.741,62.0471,31.0784,25.3402
2011-12-10,0.7414,9.2075,41.1551,26.5336
2011-12-20,0.7169,2.9092,45.8968,28.895
2011-12-31,0.6719,2.755,54.4477,32.0728
2012-01-10,0.6126,2.556,51.5694,33.9713
2012-01-20,0.5549,2.1133,55.3756,34.6344
2012-01-31,0.5093,3.3036,64.4759,37.4454
2012-02-10,0.4692,1.9845,61.7824,39.2775
2012-02-20,0.43700000000000006,1.9425,65.3346,39.5053
2012-02-28,0.4086,2.3525,57.1168,39.5795
2012-03-10,0.3871,7.5427,65.6026,38.567
2012-03-20,0.3863,4.8685,66.6698,43.7394
2012-03-31,0.4106,7.1093,70.4011,40.2203
2012-04-10,0.4665,97.4284,48.5919,32.6606
2012-04-20,0.5586,81.935,38.5353,28.9779
2012-04-30,0.6569,89.4825,34.7902,26.4801
2012-05-10,0.7196,64.8854,36.6219,25.5493
2012-05-20,0.7438,39.5672,37.2728,24.8513
2012-05-31,0.7397,52.0467,48.4374,25.1364
2012-06-10,0.7043,16.5962,43.662,24.6474
2012-06-20,0.6665,6.0238,43.0439,25.1811
2012-06-30,0.6312,8.7157,42.345,26.6444
2012-07-10,0.6046,16.1228,40.885,28.2971
2012-07-20,0.591,4.8818,43.3049,26.0242
2012-07-31,0.5875,12.2302,49.7172,28.8449
2012-08-10,0.5836,8.2019,46.4688,30.8211
2012-08-20,0.5786,16.2425,46.6083,31.0959
2012-08-31,0.5647,20.2603,49.3831,31.5142
2012-09-10,0.5491,22.7499,45.6814,33.6729
2012-09-20,0.5462,23.3053,48.201,29.2047
2012-09-30,0.5721,32.6676,45.229,32.7611
2012-10-10,0.6223,35.5035,39.5014,27.2104
2012-10-20,0.6816,20.6092,46.1551,27.7554
2012-10-31,0.7223,94.2603,45.0747,25.1155
2012-11-10,0.7444,26.2361,44.7821,25.095
2012-11-20,0.7523,34.3941,41.618,25.2476
2012-11-30,0.7485,7.0023,48.5761,28.3834
2012-12-10,0.7233,5.7183,47.6571,28.1189
2012-12-20,0.6806,3.0337,50.1981,30.4402
2012-12-31,0.6309,2.7133,53.7131,33.2224
2013-01-10,0.5797,8.1406,51.7931,33.0405
2013-01-20,0.536,3.7854,56.4627,34.14
2013-01-31,0.4985,3.9017,64.0624,37.5751
2013-02-10,0.4643,3.5185,60.073,37.9455
2013-02-20,0.4343,2.3678,64.9846,41.0769
2013-02-28,0.4131,1.8926,55.3332,41.6269
2013-03-10,0.4067,6.0035,64.4158,40.4483
2013-03-20,0.4316,38.2357,47.7074,34.8954
2013-03-31,0.5036,130.4492,39.5018,29.4344
2013-04-10,0.6062,105.0677,32.0137,27.2758
2013-04-20,0.6968,82.6553,36.0174,26.9972
2013-04-30,0.7429,86.3403,33.7993,25.925
2013-05-10,0.7486,65.6988,35.0197,24.4769
2013-05-20,0.7349,28.0043,40.7807,23.1665
2013-05-31,0.7003,54.0869,46.1657,25.4779
2013-06-10,0.6334,9.7804,41.0112,25.6248
2013-06-20,0.5407,32.2652,34.5204,22.3237
2013-06-30,0.4908,5.4036,40.6849,23.4134
2013-07-10,0.4653,10.0544,41.7631,26.2004
2013-07-20,0.4715,16.6726,40.7869,27.0781
2013-07-31,0.4714,12.812999999999999,41.6223,24.8713
2013-08-10,0.4786,7.0489,43.1653,28.6553
2013-08-20,0.4848,14.99,45.8057,28.1937
2013-08-31,0.518,13.6929,52.2366,29.381
2013-09-10,0.5587,16.102,49.3713,30.6916
2013-09-20,0.588,26.7604,48.4635,33.1786
